Year,Country,Fat,Protein,Calories,Fruits,Sugar,Vegetables
2019,India,110.5,128.7,3046,110,41.9,87.9
2020,India,107.9,128.3,3086,109.9,36.8,89.8
2021,India,111.6,129.9,3091,119.2,36.9,90.8
2015,Brazil,63.3,121.7,2955,132.7,25.1,52.2
2016,Brazil,65.2,121.4,2984,128,25.6,52.7
2017,Brazil,67,121.8,2987,123.4,24.2,52.8
2018,Brazil,66.4,124.4,3021,149.9,26.5,52.3
2019,Brazil,67.8,132.2,3048,131.4,26.2,50.4
2020,Brazil,70.1,135.1,3091,131,28.4,50.1
2021,Brazil,70.5,136.9,3128,116,27.3,49.6
2015,Australia,126,170.6,3305,96.6,47.9,125.1
2016,Australia,126.5,168,3381,106.3,47.9,126.8
2017,Australia,126.7,171.9,3428,114.3,47.6,127.2
2018,Australia,131.1,168.8,3464,105.5,48.5,120.7
2019,Australia,129.7,177.8,3477,113.9,45.7,116.4
2020,Australia,130.7,184.5,3524,109.3,37.3,114.7
2021,Australia,129.6,181.2,3554,113.9,39.2,163.2
2015,Mexico,101.7,161.7,2808,69.3,61.7,60.7
2016,Mexico,101.4,160.5,2820,67.4,59,64.9
2017,Mexico,102.5,160.1,2847,81.9,59.3,73.4
2018,Mexico,105.1,158.9,2846,83.8,62.8,77.2
2019,Mexico,101.5,156.8,2827,87.9,57.7,66.3
2020,Mexico,101.4,160,2817,92.4,48.4,63.3
2021,Mexico,101.8,162,2776,93.3,50.3,54.3
2015,South Africa,119.5,114.1,2794,133.1,93.9,42.5
2016,South Africa,120,113.5,2889,127.9,91.1,39.4
2017,South Africa,120.7,113.7,2962,128.2,84.7,41.3
2018,South Africa,122.3,116.4,2920,129.1,56.5,38.7
2019,South Africa,121.8,113.4,2913,124.6,50.3,38.3
2020,South Africa,123.1,118.9,2924,134.7,50.6,39.9
2021,South Africa,122.9,120.1,2916,128.4,50.3,39.7
2015,Switzerland,112.4,88,3374,58.4,58.3,139.2
2016,Switzerland,111.4,87.1,3359,57.4,53.4,138.8
2017,Switzerland,113.2,90,3387,60.3,55.1,138.5
2018,Switzerland,114.1,89.7,3344,65.2,54.7,138.3
2019,Switzerland,115.6,92.8,3379,66.8,59,133.6
2020,Switzerland,115.1,91.6,3374,71.3,59.9,140.9
2021,Switzerland,118,91.9,3362,73.6,61.5,158.1
2015,France,104.3,155.4,3134,103.5,30.7,107.2
2016,France,105.5,160.2,3107,118.8,30.5,116.8
2017,France,104.3,163.2,3104,121.7,31.3,118.6
2018,France,103.3,154.9,3200,110.5,42.1,117.3
2019,France,105.1,149.7,3253,113.8,45.8,110.1
2020,France,104,156.9,3247,115.9,47.8,111.3
2021,France,100.6,154.6,3289,126.3,60.7,120.2
2015,Norway,111.8,83.8,2885,115.7,81.4,123.4
2016,Norway,110.1,85.5,2972,116.4,84,129.6
2017,Norway,109.9,86.9,3007,103.6,78.4,126.3
2018,Norway,108,85.7,3003,100.9,84.7,124.4
2019,Norway,113.3,90,3020,97.7,80.8,128.6
2020,Norway,112.2,98.5,3025,95.9,95.7,134
2021,Norway,111.1,96.4,2989,105.5,88.5,166.8
2015,New Zealand,109.9,150.6,3220,141.4,41.3,135.2
2016,New Zealand,114.2,151.7,3299,149.3,42.3,130.6
2017,New Zealand,115.2,152.1,3319,154.4,40.7,123.1
2018,New Zealand,118.9,151.5,3369,135.6,40.2,137.8
2019,New Zealand,113.8,157.3,3372,140.7,39.6,114.4
2020,New Zealand,114.4,162,3377,125.7,40.1,99.6
2021,New Zealand,113.2,160.6,3390,142.8,39.2,103.9
2015,Denmark,116.8,124.1,3754,112.3,32.7,131.1
2016,Denmark,117.9,126.5,3777,110.3,32.8,137.1
2017,Denmark,119.7,127.4,3791,107.7,32.8,140.4
2018,Denmark,119.4,126.9,3824,107,33.6,148.2
2019,Denmark,120.9,128.3,3876,110.2,33.9,137.5
2020,Denmark,120.9,134.1,3892,107,34.3,139.2
2021,Denmark,122.6,134.6,3911,115.5,35.4,171.3
2015,Chile,143.4,134.9,3407,110.4,109.8,66.9
2016,Chile,143.4,133.3,3353,110.4,111.2,72.4
2017,Chile,147.8,131.8,3391,113.3,109.9,73.2
2018,Chile,147.2,134.9,3393,112.3,107.1,79.4
2019,Chile,148.2,137,3421,106.9,102.6,73.7
2020,Chile,146.4,138.7,3378,117.3,103.4,75.1
2021,Chile,145.6,139.6,3350,124.8,104.2,77.7
2015,Canada,115.4,109.1,3172,103.2,48.8,117.4
2016,Canada,117.3,110.4,3197,102.8,48.3,118.3
2017,Canada,118.4,113.9,3232,96.7,47.3,114.9
2018,Canada,119.6,116.4,3291,102.5,45.9,114
2019,Canada,120.7,120.6,3309,100.8,41,111.4
2020,Canada,121.4,123.2,3368,103.3,44.5,116.1
2021,Canada,124.6,126.1,3421,102.3,46.2,126.2
2015,Slovenia,100.5,85.1,3716,114.5,44.9,105.8
2016,Slovenia,99.4,84.7,3681,123.9,43.8,112.9
2017,Slovenia,99.7,84.7,3744,133.8,43.5,113
2018,Slovenia,100.5,84.8,3788,128,43.3,112.8
2019,Slovenia,99.8,90,3802,123.9,45.3,126.1
2020,Slovenia,103.3,93.8,3830,132.2,53.3,129.7
2021,Slovenia,102,97.3,3825,139.4,60.5,175.3
2015,Costa Rica,108,58.7,2431,116.2,48.7,93.3
2016,Costa Rica,106.4,60.1,2482,132,48,85.5
2017,Costa Rica,108.6,60.3,2523,155.2,48.3,105.7
2018,Costa Rica,109.8,60.9,2535,162.5,49.4,116.9
2019,Costa Rica,109,66,2537,160.8,49.9,97.5
2020,Costa Rica,115.6,65.4,2550,159.4,49,96.1
2021,Costa Rica,115.7,69,2569,181.8,49.1,87.7
2015,Slovak Republic,110.8,131.2,3465,69,27.2,66.4
2016,Slovak Republic,109.9,130.5,3508,62.1,27.2,77.8
2017,Slovak Republic,109.5,133.4,3514,65.1,26.1,76
2018,Slovak Republic,111.4,134.7,3505,67.1,26,74.1
2019,Slovak Republic,110.9,143.3,3535,67.3,29.3,82.3
2020,Slovak Republic,111,131.6,3578,76.7,27.3,85.5
2021,Slovak Republic,110.5,131.9,3604,79.6,27.7,114.9
2015,Colombia,118.9,95.2,3591,118.3,50.4,41
2016,Colombia,116.7,96.7,3576,116.1,51.2,48.1
2017,Colombia,121.1,97.6,3568,113.4,50.5,47.3
2018,Colombia,123.7,99.8,3607,114.5,47.5,52.5
2019,Colombia,125.2,101.4,3635,116.4,45.3,55.2
2020,Colombia,126.3,103.2,3642,119.9,43.1,51.5
2021,Colombia,128.9,104.4,3634,107.8,42.1,50.3
2015,Romania,88.3,162.1,3214,72.3,55,196.3
2016,Romania,90.1,162.9,3215,70,57.3,185.7
2017,Romania,91.2,159.7,3203,69.8,53.9,199
2018,Romania,93.6,160.4,3173,73.9,52.2,212.9
2019,Romania,94.3,160.7,3241,87.7,46.4,148
2020,Romania,90.5,155.9,3265,83.3,42.9,151
2021,Romania,93.6,151.7,3268,88.4,40.9,168.6
2015,Portugal,67.5,130.2,3386,94.7,163.1,173
2016,Portugal,68.8,131.2,3350,95.6,160.9,159.4
2017,Portugal,73.7,127.1,3371,97.1,159.7,158.1
2018,Portugal,72.7,141.1,3389,98.3,162.3,110
2019,Portugal,74.3,134.4,3409,103,154.8,129.9
2020,Portugal,79.5,139,3452,105.2,156.8,105.2
2021,Portugal,79.8,139.6,3402,109,162.2,117
2015,Czechia,118.1,169.5,3235,114.7,90.1,90.6
2016,Czechia,119.3,167.9,3265,94.3,91,99.6
2017,Czechia,120.1,171.5,3265,114.5,90.8,101
2018,Czechia,121.7,170.1,3314,122.6,92.2,97.1
2019,Czechia,123.4,183.3,3339,144.7,92.3,94.8
2020,Czechia,125.7,183,3358,148.5,97.4,99.3
2021,Czechia,124.3,184.4,3319,128.5,96,127.9
2015,Ukraine,92.8,83.8,3077,52.9,67.3,165.9
2016,Ukraine,94.7,81.2,3065,54,59.3,168.8
2017,Ukraine,94.6,83.3,3035,50.2,61.6,165.6
2018,Ukraine,93.1,90.2,2989,66.9,60.1,169.8
2019,Ukraine,94.9,88.5,2943,63.2,64.3,175.6
2020,Ukraine,92.2,86.8,2926,61.3,64,172.5
2021,Ukraine,92.1,90.8,2938,61.9,57.8,182.2
