Year,AlcoholConsumption,Area
2014,7.9,Chile
2015,7.9,Chile
2016,6.4,Chile
2017,5.7,Chile
2018,6.3,Chile
2019,7.1,Chile
2010,5.7,Peru
2011,6.2,Peru
2012,6.2,Peru
2013,6.1,Peru
2014,5.9,Peru
2015,5.7,Peru
2016,5.7,Peru
2017,5.7,Peru
2018,5.7,Peru
2019,5.7,Peru
2020,4.7,Peru
2010,8.5,Brazil
2011,8.6,Brazil
2012,8.4,Brazil
2013,8.3,Brazil
2014,9.2,Brazil
2015,9.2,Brazil
2016,9.7,Brazil
2017,9.2,Brazil
2018,9.4,Brazil
2019,9.8,Brazil
2020,9.8,Brazil
2010,10.8,Hungary
2011,11.4,Hungary
2012,11.1,Hungary
2013,10.6,Hungary
2014,10.9,Hungary
2015,10.8,Hungary
2016,11.1,Hungary
2017,10.7,Hungary
2018,11.4,Hungary
2019,10.7,Hungary
2020,10.4,Hungary
2021,10.5,Hungary
2022,10.6,Hungary
2010,4,Mexico
2011,4,Mexico
2012,3.9,Mexico
2013,3.8,Mexico
2014,4,Mexico
2015,4.3,Mexico
2016,4.4,Mexico
2017,4.7,Mexico
2018,4.8,Mexico
2019,4.9,Mexico
2020,4.2,Mexico
2021,5.1,Mexico
2010,11.6,Ireland
2011,11.7,Ireland
2012,11.5,Ireland
2013,10.6,Ireland
2014,10.8,Ireland
2015,10.7,Ireland
2016,11.2,Ireland
2017,11,Ireland
2018,11,Ireland
2019,10.8,Ireland
2020,10.1,Ireland
2021,9.5,Ireland
2022,10.2,Ireland
2023,9.9,Ireland
2010,3.7,Costa Rica
2011,3.3,Costa Rica
2012,3.2,Costa Rica
2013,3.1,Costa Rica
2014,3.2,Costa Rica
2015,3.2,Costa Rica
2016,3.4,Costa Rica
2017,3.3,Costa Rica
2018,3.3,Costa Rica
2019,3.1,Costa Rica
2020,3.2,Costa Rica
2021,3.6,Costa Rica
2022,3.5,Costa Rica
2023,3.4,Costa Rica
2010,12.1,Austria
2011,11.9,Austria
2012,12.1,Austria
2013,11.9,Austria
2014,12.2,Austria
2015,11.2,Austria
2016,11.4,Austria
2017,11.3,Austria
2018,11.3,Austria
2019,11.6,Austria
2020,11.3,Austria
2021,11.1,Austria
2022,11.6,Austria
2010,2.8,Israel
2011,2.8,Israel
2012,2.9,Israel
2013,2.9,Israel
2014,2.7,Israel
2015,2.7,Israel
2016,2.7,Israel
2017,2.9,Israel
2018,3,Israel
2019,3.1,Israel
2010,4.2,Colombia
2011,4.3,Colombia
2012,4.4,Colombia
2013,4.3,Colombia
2014,4.2,Colombia
2015,4.2,Colombia
2016,4.5,Colombia
2017,4.2,Colombia
2018,4.2,Colombia
2019,4.1,Colombia
2010,8.3,Greece
2011,7.5,Greece
2012,7.6,Greece
2013,7.6,Greece
2014,7.1,Greece
2015,6.7,Greece
2016,6.7,Greece
2017,6.7,Greece
2018,6.5,Greece
2019,6.3,Greece
2010,6.6,Norway
2011,6.4,Norway
2012,6.2,Norway
2013,6.2,Norway
2014,6.1,Norway
2015,6,Norway
2016,6,Norway
2017,6,Norway
2018,6,Norway
2019,6.1,Norway
2020,7.2,Norway
2021,7.4,Norway
2022,6.6,Norway
2010,7.3,Argentina
2011,7.7,Argentina
2012,8,Argentina
2013,8.1,Argentina
2014,8.2,Argentina
2015,8.2,Argentina
2016,8.2,Argentina
2017,7.9,Argentina
2018,7.6,Argentina
2019,7.6,Argentina
2020,7.6,Argentina
2010,0.1,Indonesia
2011,0.1,Indonesia
2012,0.1,Indonesia
2013,0.1,Indonesia
2014,0.1,Indonesia
2015,0.1,Indonesia
2016,0.1,Indonesia
2017,0.1,Indonesia
2018,0.1,Indonesia
2019,0.1,Indonesia
2020,0.1,Indonesia
2010,9.9,Romania
2011,9.5,Romania
2012,9.6,Romania
2013,9.6,Romania
2014,9.5,Romania
2015,9.4,Romania
2016,9.5,Romania
2017,10.2,Romania
2018,10.9,Romania
2019,10.8,Romania
2020,10.3,Romania
2021,11.5,Romania
2022,11.6,Romania
2010,11.4,Czechia
2011,11.5,Czechia
2012,11.6,Czechia
2013,11.5,Czechia
2014,11.9,Czechia
2015,11.5,Czechia
2016,11.7,Czechia
2017,11.6,Czechia
2018,11.8,Czechia
2019,11.9,Czechia
2020,11.6,Czechia
2021,11.6,Czechia
2022,11.6,Czechia
2010,9.8,Spain
2011,9.6,Spain
2012,9.4,Spain
2013,9.2,Spain
2014,9.5,Spain
2015,10.4,Spain
2016,10.9,Spain
2017,10.9,Spain
2018,10.4,Spain
2019,10.7,Spain
2020,8.7,Spain
2021,10.4,Spain
2022,11.8,Spain
2010,4.8,China  
2011,5.4,China  
2012,5.9,China  
2013,6.1,China  
2014,6.2,China  
2015,6.3,China  
2016,6.2,China  
2017,5.5,China  
2018,4.8,China  
2019,4.8,China  
2020,3.7,China  
2010,7,Italy
2011,7,Italy
2012,7.5,Italy
2013,7.4,Italy
2014,7.6,Italy
2015,7.1,Italy
2016,7.1,Italy
2017,7.4,Italy
2018,7.8,Italy
2019,7.7,Italy
2010,7.3,Japan
2011,7.3,Japan
2012,7.2,Japan
2013,7.4,Japan
2014,7.1,Japan
2015,7.2,Japan
2016,7.2,Japan
2017,7.2,Japan
2018,7.2,Japan
2019,7.1,Japan
2020,6.7,Japan
2021,6.6,Japan
2010,8.6,United States
2011,8.7,United States
2012,8.9,United States
2013,8.8,United States
2014,8.8,United States
2015,8.8,United States
2016,8.9,United States
2017,8.9,United States
2018,8.9,United States
2019,9,United States
2020,9.2,United States
2021,9.5,United States
2010,10.3,Slovenia
2011,10.6,Slovenia
2012,11,Slovenia
2013,9.5,Slovenia
2014,10.9,Slovenia
2015,11.5,Slovenia
2016,10.5,Slovenia
2017,10.1,Slovenia
2018,10,Slovenia
2019,11.1,Slovenia
2020,9.8,Slovenia
2021,10.6,Slovenia
2022,10,Slovenia
2010,10.8,Denmark
2011,11,Denmark
2012,9.8,Denmark
2013,10,Denmark
2014,10.1,Denmark
2015,9.9,Denmark
2016,10,Denmark
2017,9.7,Denmark
2018,9.7,Denmark
2019,9.5,Denmark
2020,9.7,Denmark
2021,10.4,Denmark
2022,9.5,Denmark
2010,11.6,Germany
2011,11.3,Germany
2012,11.3,Germany
2013,11.1,Germany
2014,11.1,Germany
2015,11.1,Germany
2016,11,Germany
2017,10.9,Germany
2018,10.9,Germany
2019,10.6,Germany
2010,9.7,Finland
2011,9.8,Finland
2012,9.3,Finland
2013,9.1,Finland
2014,8.8,Finland
2015,8.5,Finland
2016,8.4,Finland
2017,8.4,Finland
2018,8.4,Finland
2019,8.2,Finland
2020,8.2,Finland
2021,8.1,Finland
2022,7.6,Finland
2010,9.8,Latvia
2011,10.1,Latvia
2012,10.2,Latvia
2013,10.4,Latvia
2014,10.6,Latvia
2015,10.8,Latvia
2016,11.3,Latvia
2017,10.9,Latvia
2018,11,Latvia
2019,11.6,Latvia
2020,12.1,Latvia
2021,12.2,Latvia
2022,11.9,Latvia
2010,7.2,South Africa
2011,7.3,South Africa
2012,7.5,South Africa
2013,7.5,South Africa
2014,7.5,South Africa
2015,7.5,South Africa
2016,7.4,South Africa
2017,7.3,South Africa
2018,7.4,South Africa
2019,7.4,South Africa
2020,5.7,South Africa
2010,12.3,France
2011,12.4,France
2012,12.2,France
